Rill,Fake,greedy,dp,selisih
unsur,unslr,1,1,0
asisten,aisten,1,1,0
belanja,blanjga,2,2,0
menyangkak,enyangak,2,2,0
asetimeter,aetieteu,3,3,0
pagu,qmgl,3,3,0
hipoplasia,hipopasmia,2,2,0
menggerendeng,qenggerfendeng,2,2,0
globulin,globglin,1,1,0
cocok,cotcok,1,1,0
punyimbang,punnimbang,1,1,0
takefektif,tpkefekpif,2,2,0
gamang,gaembanng,3,3,0
pengabstrakan,peingabstreatkan,3,3,0
nimfomania,nimofompniaj,9,3,6
dipanggang,dipanggan,1,1,0
campa,cafpvk,3,3,0
mencampuri,mahncamuri,3,3,0
fitotopografi,fitotoptogdrnfi,3,3,0
pelincir,pclincir,1,1,0
mengganyah,mengganyruh,2,2,0
memahamkan,memahamzknan,4,2,2
sengir,sengd,2,2,0
membanjiri,membanjri,1,1,0
semerta-merta,semetrta-merta,10,1,9
vertebrata,svertbrata,2,2,0
menyembilu,menyembilu,0,0,0
penjarahan,penjanahan,1,1,0
kredit,kreudit,1,1,0
panoptikum,panopikm,2,2,0
pemerah,pemyrarh,2,2,0
sinar-suminar,siar-suinar,2,2,0
kegulanaan,kevoulaaan,3,3,0
simplikasi,sgimplzksi,3,3,0
peminggang,empinggang,2,2,0
peloncatan,pielocncatan,7,2,5
pembocoran,pembocmran,1,1,0
pemindaian,yemiwdaianp,3,3,0
memorisasi,memorisasiz,1,1,0
menyangkutkan,zmenyangqutkan,2,2,0
pluralisme,plvralisme,1,1,0
apsidal,fapsyidal,2,2,0
makrosomia,makqosmmia,3,2,1
alari,clxrl,3,3,0
klorinitas,klorintags,2,2,0
ortodentis,orodentis,1,1,0
materialisasi,matekialcisaqsi,3,3,0
ikhtiar,ikwyar,3,3,0
hemiplegia,pemipleia,2,2,0
bertengger,bertenuggewr,2,2,0
globofobia,globoobia,1,1,0
polihalida,polichalid,2,2,0
sanggar,sapngar,2,2,0
gelok,ghok,2,2,0
retina,rtina,1,1,0
glasiologi,glasiologli,1,1,0
damar,vdamar,1,1,0
penyempit,penyempit,0,0,0
labora,lapria,3,3,0
majakeling,mabakeling,1,1,0
menyerobot,menyeroblt,1,1,0
lorong,lordog,2,2,0
agung,amung,1,1,0
palmetto,palmeto,1,1,0
pemerkecil,pemeprkeciil,2,2,0
pemersepit,peerseit,2,2,0
galur,gaur,1,1,0
menampung,mesampung,1,1,0
perspektif,perszpektif,1,1,0
gungging,gupnggig,2,2,0
surealisme,surealpisme,1,1,0
bronkial,bronal,4,2,2
transendental,trbnsedndentail,10,3,7
mengemulsi,mengmxlsi,2,2,0
negosiator,negosadto,3,3,0
femi,fy,3,3,0
menjungkit,menjungci,2,2,0
kalazogami,kafazngami,2,2,0
pengaman,pekngkamcn,3,3,0
penilangan,penitaigan,2,2,0
zooaprokrisis,zooaprokoiss,2,2,0
melecurkan,emelecurkan,10,1,9
raut,raxt,1,1,0
poliembrionik,pplfiembrionik,2,2,0
mole,molqe,1,1,0
sembah,setmbah,1,1,0
dakwa,dakja,1,1,0
gletser,glotser,1,1,0
pendongkrakan,pendongkfrakan,1,1,0
anjangsono,anjanksono,1,1,0
tumenggung,tumenggu,2,2,0
mempertiga,mempertifa,1,1,0
pascakenaikan,pascakenisn,3,3,0
pengetikan,poengltikn,3,3,0
keingintahuan,keinaintahuan,1,1,0
abad,abjya,3,3,0
mengendalikan,mengendalkann,2,2,0
godek,gogek,1,1,0
melantan,mewlanmn,3,3,0
gempang,gempanugy,2,2,0
sudi,fsuni,2,2,0
bukan,bukino,2,2,0
poleng-poleng,rolng-poleng,2,2,0
amilodekstrin,amiliodekstrin,1,1,0
bisu,eisgu,2,2,0
kewenangan,kewenann,3,2,1
piza,iza,1,1,0
terperosok,terpyerosok,1,1,0
loha,lohf,1,1,0
epikondilitis,pikondilitisw,2,2,0
himbauan,gimauan,2,2,0
mendongeng,mendkngmevng,3,3,0
daulat,xaudt,3,3,0
pengeraman,pendebraman,2,2,0
guntur,gzutr,3,3,0
beta,bbewa,2,2,0
pekarangan,pkarangan,1,1,0
hilang-hilang,hlang-hilang,1,1,0
personifikasi,bersonifiks,3,3,0
daerah,eera,3,3,0
skala,saal,3,2,1
ramal,amal,1,1,0
menggemboskan,menggemgkan,6,3,3
nostofobia,nostokobia,1,1,0
remunerasi,recuneras,2,2,0
menziarahi,menzarahi,1,1,0
teater,teoteru,2,2,0
menitah-nitah,meaityh-nitah,2,2,0
pencatutan,pncatutan,1,1,0
penunjuk,ptnnjpk,3,3,0
kabinet,abint,2,2,0
bermuka,bpebrmuka,2,2,0
entri,entrui,1,1,0
terjun,terqus,2,2,0
hutan,htan,1,1,0
pembebasan,gpembebcsa,3,3,0
beban,tebln,2,2,0
inter,nterdc,3,3,0
berplastik,bersplastmik,2,2,0
pendeteksi,pendetekni,1,1,0
salinan,salilan,1,1,0
pergelaran,perrgeldran,2,2,0
manado,maatd,3,3,0
kelumit,kelxi,3,3,0
kepik,kepyiik,2,2,0
korosif,korsibf,2,2,0
kadim,aiem,3,3,0
gawai,gawari,1,1,0
oligark,obiligrk,4,3,1
kuit,iuis,2,2,0
gelayut,geayzu,3,3,0
perwosa,perwojcd,3,3,0
sidang,siang,1,1,0
vrijdenker,vijdenkera,2,2,0
pengasupan,engasrupa,3,3,0
non,no,1,1,0
plastik,vplastik,1,1,0
rel,he,2,2,0
memburakan,meburcakan,2,2,0
mengembangkan,rengmbqangkan,3,3,0
memeriksai,mepperiksa,3,3,0
ombrofobia,ombrofobix,1,1,0
menyengker,mienyengker,1,1,0
setanjakan,svetanjaka,2,2,0
melebarkan,meleblrkan,1,1,0
paya,pfy,2,2,0
mempercumakan,memvpercumakan,1,1,0
lama,dama,1,1,0
romantik,rojmantik,1,1,0
akuatosere,ajuatosre,2,2,0
among,armongr,2,2,0
menyenaraikan,mewyenataikan,2,2,0
pluviograf,plviosgbaf,3,3,0
bayan,ayant,2,2,0
menerumkan,mmenvdumkan,3,3,0
alveolitis,alveolhts,2,2,0
prinsipiel,prinsipel,1,1,0
turun-temurun,tfrun-teomuaun,3,3,0
asetabulum,asetkbulum,1,1,0
menggulung,meagglung,2,2,0
konjungtur,konumzgtur,3,3,0
tanak,tahak,1,1,0
country,xcounty,2,2,0
lemak,lnmaeu,3,3,0
membayonet,megbaoonet,3,2,1
pengusutan,pengusutvn,1,1,0
sudung-sudung,suduwng-sudung,1,1,0
potensiometer,potensyiomcseter,6,3,3
,yn,2,2,0
kemopsikiatri,kemosikiatr,2,2,0
telantar,yteelaetar,3,3,0
pemeran,phmehn,3,3,0
pertenisan,prtenisan,1,1,0
pertubuhan,pertubuhta,2,2,0
lamba,lama,1,1,0
mengekspos,menhgekspos,1,1,0
antiklorin,antinklorinv,2,2,0
fluktuatif,flouktuatif,1,1,0
tuts,u,3,3,0
sesebentar,sesebextar,1,1,0
kelepak,keleqsk,2,2,0
penggembungan,penqggemdungan,2,2,0
